File,Category,IsSecurity,SupportCount,Tools,SuggestedClassification,IsTruePositive,RuleIDs,Examples,Sources,Confidence
(unknown),CAP_SYS_ADMIN,True,2,"KubeLinter,Kubescape",Actual (Correct),yes,,drop-net-raw-capability | insecure-capabilities,original,3
(unknown),DEPRECATED_API,False,1,KubeLinter,Actual (Correct),yes,,no-extensions-v1beta,original,2
(unknown),HARD_CODED_CREDS,True,2,"KubeLinter,Kubescape",Actual (Correct),yes,,"env-var-secret | Add Checkov, Conftest, and Gitleaks integration
Introduces Checkov, Conftest, and Gitleaks as new detectors in the scanning pipeline. Updates orchestration functions to include these tools, adds configuration files for Checkov, Kube-Linter, and Polaris, and implements HTML vulnerability matrix output. Also improves normalization logic for kube-score findings and removes obsolete test and log files.",original,3
(unknown),HOSTPATH,True,2,"KubeLinter,Kubescape",Actual (Correct),yes,,"docker-sock | host system directory ""/var/run/docker.sock"" is mounted on container ""jenkins-agent"" | docker-sock",original,7
(unknown),IMAGE_LATEST,True,1,KubeLinter,Actual (Correct),yes,,"The container ""jenkins-agent"" is using an invalid container image, ""jenkins/inbound-agent:latest"". Please use images that are not blocked by the `BlockList` criteria : ["".*:(latest)$"" ""^[^:]*$"" ""(.*/[^:]+)$""] | The container ""nginx"" is using an invalid container image, ""nginx:latest"". Please use images that are not blocked by the `BlockList` criteria : ["".*:(latest)$"" ""^[^:]*$"" ""(.*/[^:]+)$""] | The container ""app-container"" is using an invalid container image, ""myimage:latest"". Please use images that are not blocked by the `BlockList` criteria : ["".*:(latest)$"" ""^[^:]*$"" ""(.*/[^:]+)$""]",original,6
(unknown),PRIVILEGED,True,1,KubeLinter,Actual (Correct),yes,,privileged-container,original,2
(unknown),PRIV_ESCALATION,True,1,Kubescape,Actual (Correct),yes,,rule-allow-privilege-escalation,original,1
(unknown),RUN_AS_NONROOT_FALSE,True,1,KubeLinter,Actual (Correct),yes,,"run-as-non-root | container ""jenkins-agent"" is not set to runAsNonRoot | container ""nginx"" is not set to runAsNonRoot",original,18
(unknown),SERVICEACCOUNT_TOKEN_AUTO,True,1,KubeLinter,Actual (Correct),yes,,deprecated-service-account-field,original,2
(unknown),YAML_FORMATTING,False,1,KubeLinter,Actual (Correct),yes,,duplicate-env-var,original,2
13.jenkins_agent_pod.yaml,CAP_SYS_ADMIN,True,1,KubeAudit,Actual (Correct),yes,CapabilityOrSecurityContextMissing,CapabilityOrSecurityContextMissing,original,3
13.jenkins_agent_pod.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
13.jenkins_agent_pod.yaml,HOSTPATH,True,1,KubeAudit,Actual (Correct),yes,SensitivePathsMounted,SensitivePathsMounted,original,3
13.jenkins_agent_pod.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
13.jenkins_agent_pod.yaml,NO_SECCOMP,True,1,KubeAudit,Actual (Correct),yes,SeccompProfileMissing,SeccompProfileMissing,original,3
13.jenkins_agent_pod.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
13.jenkins_agent_pod.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
13.jenkins_agent_pod.yaml,RUN_AS_NONROOT_FALSE,True,1,KubeAudit,Actual (Correct),yes,RunAsNonRootPSCNilCSCNil,RunAsNonRootPSCNilCSCNil,original,3
13.nginx_privileged_deployment.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
13.nginx_privileged_deployment.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,9
13.nginx_privileged_deployment.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
13.nginx_privileged_deployment.yaml,IMAGE_LATEST,True,2,"Checkov,Trivy",Actual (Correct),yes,"CKV_K8S_14,KSV013","Image Tag should be fixed - not latest or blank | Image tag "":latest"" used",original,6
13.nginx_privileged_deployment.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
13.nginx_privileged_deployment.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
13.nginx_privileged_deployment.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
13.nginx_privileged_deployment.yaml,NO_SECCOMP,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | SeccompProfileMissing | Seccomp policies disabled,original,9
13.nginx_privileged_deployment.yaml,PRIVILEGED,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_22,KSV017,PrivilegedTrue",Use read-only filesystem for containers where possible | PrivilegedTrue | Privileged,original,9
13.nginx_privileged_deployment.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
13.nginx_privileged_deployment.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
13.nginx_privileged_deployment.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
13.nginx_privileged_deployment.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,nginx-deployment,original,2
