Tool,How It Works,Installed,Working,Evaluation,Coverage Area,Output Format,Requires Cluster,Notes
kube-bench,"Runs CIS Kubernetes Benchmark checks on cluster nodes, control plane, and worker node configurations. Validates security settings against best practices.",Yes/No,Yes/No,"CIS compliance scores per section (e.g., Control Plane: 75/100, Worker Nodes: 80/100)",Host/Node Configuration & CIS Benchmarks,JSON,"Yes (for full results), Limited for manifests-only","Designed for runtime cluster analysis. Manifest-only scanning produces limited results. Best run directly on cluster nodes with elevated privileges."
rbac-police,"Analyzes Kubernetes RBAC configurations for overly permissive roles, dangerous permission combinations, and privilege escalation paths. Identifies risky service account bindings.",Yes/No,Yes/No,"Risk scores per role/binding. Lists dangerous permissions (e.g., '*' on resources, cluster-admin bindings, pod exec permissions)",RBAC & Permissions Analysis,JSON,"No (works with manifests), Yes (for live cluster analysis)","Requires RBAC manifest files (Role, RoleBinding, ClusterRole, ClusterRoleBinding, ServiceAccount). Most effective with complete RBAC definitions. Can also scan live clusters with kubeconfig."
pluto,"Scans Kubernetes manifests for deprecated and removed API versions. Checks against Kubernetes version deprecation timelines. Helps with cluster upgrade planning.",Yes/No,Yes/No,"List of deprecated APIs with removal versions (e.g., 'extensions/v1beta1 Ingress removed in v1.22'). Shows replacement API versions.",Deprecated/Removed API Versions,JSON,No (works offline),"Works entirely with YAML manifests. No cluster access needed. Configurable target Kubernetes version. Essential for upgrade planning and preventing breaking changes."

# Additional columns for tracking
# Date Tested: [Date]
# Version Tested: [Tool Version]
# Last Updated: [Date]
# Issues/Blockers: [Any issues encountered]
# Integration Status: [Pending/In Progress/Complete]
